run_num,model,batch_size,step,step_end_time_s,loss,step_time_ns,forward_time_ns,backward_time_ns,optimizer_time_ns
3,DistilBert,64,154,100.737588259,0.004086922854185104,663360057,232767993,418582452,11731617
3,DistilBert,64,155,101.395096033,0.004100659396499395,657074317,231492061,413587544,11699196
3,DistilBert,64,156,102.051750291,0.004006766714155674,656204710,232039430,412147960,11739075
3,DistilBert,64,157,102.708240648,0.004042641259729862,656076948,232289565,411723232,11790316
3,DistilBert,64,158,103.362838501,0.0039946832694113255,654157606,232224794,409862930,11781986
3,DistilBert,64,159,104.015676093,0.00395964877679944,652434645,232834744,407592530,11728395
3,DistilBert,64,160,104.669846378,0.003953656181693077,653735648,229631838,411329605,12330977
3,DistilBert,64,161,105.323748698,0.0039057163521647453,653201868,232522559,408545167,11749616
3,DistilBert,64,162,105.976168913,0.0039016662631183863,652011437,233883643,406047012,11776886
3,DistilBert,64,163,106.629552065,0.003867171471938491,652937964,229006608,411886275,11769647
3,DistilBert,64,164,107.283484716,0.0038406881503760815,653515524,232531999,408940234,11760007
3,DistilBert,64,165,107.935635726,0.003785093314945698,651728823,233821921,405800818,11800857
3,DistilBert,64,166,108.590135457,0.0037810751236975193,654064793,229349703,412719641,11701845
3,DistilBert,64,167,109.243190493,0.0037313879001885653,652632638,231569602,409022235,11764146
3,DistilBert,64,168,109.895326922,0.0037383362650871277,651695232,233221681,406362488,11824037
3,DistilBert,64,169,110.550549446,0.0036793085746467113,654809796,229876203,412880873,11768796
3,DistilBert,64,170,111.206829688,0.0036998987197875977,655843244,232791404,411064431,11707935
3,DistilBert,64,171,111.856584586,0.003679465502500534,649315830,232080571,405202648,11754846
3,DistilBert,64,172,112.511957913,0.003620713949203491,654956140,230083726,412613568,11943019
3,DistilBert,64,173,113.16908178,0.003638301743194461,656603208,232143692,412432815,11661894
3,DistilBert,64,174,113.818200597,0.0036016590893268585,648611288,232283685,404288762,11752946
3,DistilBert,64,175,114.474589381,0.0035820913035422564,655903976,231112154,412729360,11767997
3,DistilBert,64,176,115.134291273,0.0035781757906079292,659253294,232722683,414481281,11768257
3,DistilBert,64,177,115.780867965,0.003565950086340308,646137764,231872537,402173425,11799647
3,DistilBert,64,178,116.437166918,0.0035543052945286036,655859715,233317264,410597943,11663745
3,DistilBert,64,179,117.098867745,0.0034863147884607315,661258630,233142360,416139589,11691885
3,DistilBert,64,180,117.755658737,0.0034621749073266983,656351554,233066038,411280374,11729606
3,DistilBert,64,181,118.405755291,0.003444303758442402,649669097,230337120,407368996,11676825
3,DistilBert,64,182,119.069656057,0.003392257960513234,663481929,232708332,418686614,11799947
3,DistilBert,64,183,119.726844095,0.0034061847254633904,656757411,232393646,412342623,11742726
3,DistilBert,64,184,120.383397582,0.0033794944174587727,656125800,232157032,411751933,11888839
3,DistilBert,64,185,121.038601376,0.003350811777636409,654684944,232397457,410278567,11726095
